site,date_observed,genus,species,id,observer,date_entered,data_entry,dist_from_collar_raw,comments,dist_from_collar
Oak Collection,5/11/2017,Quercus,rubra,292-64*1,Duckett,5/12/2017,Duckett,1.7,Used left of two marks,1.70
Oak Collection,5/11/2017,Quercus,rubra,64-92*1,Duckett,5/12/2017,Duckett,2.05,,2.05
Oak Collection,5/11/2017,Quercus,velutina,185-92*2,Duckett,5/12/2017,Duckett,3.6,,3.60
Oak Collection,5/11/2017,Quercus,velutina,185-92*4,Duckett,5/12/2017,Duckett,1.55,,1.55
Oak Collection,5/11/2017,Quercus,velutina,185-92*5,Duckett,5/12/2017,Duckett,5.15,,5.15
Oak Collection,5/17/2017,Quercus,alba,684-33*1,Duckett,5/17/2017,Duckett,9999,Band has tightened and mark is under collar. Made new mark,9999.00
Oak Collection,5/17/2017,Quercus,alba,862-34*1,Duckett,5/17/2017,Duckett,9999,Band has tightened and mark is under collar. Made new mark,9999.00
Oak Collection,5/17/2017,Quercus,alba,239-42*2,Duckett,5/17/2017,Duckett,0.95,,0.95
Oak Collection,5/17/2017,Quercus,alba,134-U*6,Duckett,5/17/2017,Duckett,9999,Band has tightened and mark is under collar. Made new mark,9999.00
Oak Collection,5/17/2017,Quercus,alba,134-U*7,Duckett,5/17/2017,Duckett,1.1,,1.10
Oak Collection,5/17/2017,Quercus,alba,134-U*60,Duckett,5/17/2017,Duckett,1.8,Band was screwed up. Took picture and fixed,1.80
Oak Collection,5/17/2017,Quercus,alba,134-U*61,Duckett,5/17/2017,Duckett,3.25,,3.25
Oak Collection,5/17/2017,Quercus,bicolor,513-25*1,Duckett,5/17/2017,Duckett,0.8,,0.80
Oak Collection,5/17/2017,Quercus,bicolor,214-91*1,Duckett,5/17/2017,Duckett,9999,Band has tightened and mark is under collar. Made new mark,9999.00
Oak Collection,5/17/2017,Quercus,macrocarpa,1261-26*1,Duckett,5/17/2017,Duckett,0.25,,0.25
Oak Collection,5/17/2017,Quercus,macrocarpa,1261-26*2,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,2390-26*1,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,2390-26*2,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,752-34*2,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,752-34*4,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,4-35*1,Duckett,5/17/2017,Duckett,1,,1.00
Oak Collection,5/17/2017,Quercus,macrocarpa,1516-35*1,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,macrocarpa,808-51*1,Duckett,5/17/2017,Duckett,0.8,,0.80
Oak Collection,5/17/2017,Quercus,macrocarpa,138-U*1,Duckett,5/17/2017,Duckett,9.45,,9.45
Oak Collection,5/17/2017,Quercus,macrocarpa,138-U*4,Duckett,5/17/2017,Duckett,1.55,,1.55
Oak Collection,5/17/2017,Quercus,macrocarpa,138-U*6,Duckett,5/17/2017,Duckett,16.15,,16.15
Oak Collection,5/17/2017,Quercus,macrocarpa,138-U*7,Duckett,5/17/2017,Duckett,0.35,,0.35
Oak Collection,5/17/2017,Quercus,robur,180-93*7,Duckett,5/17/2017,Duckett,0.65,,0.65
Oak Collection,5/17/2017,Quercus,robur,180-93*8,Duckett,5/17/2017,Duckett,1.65,,1.65
Oak Collection,5/17/2017,Quercus,robur,180-93*9,Duckett,5/17/2017,Duckett,0,,0.00
Oak Collection,5/17/2017,Quercus,robur,255-99*1,Duckett,5/17/2017,Duckett,9999,Band has tightened and mark is under collar. Made new mark,9999.00
Oak Collection,5/17/2017,Quercus,rubra,466-37*1,Duckett,5/17/2017,Duckett,4.55,,4.55
Oak Collection,5/17/2017,Quercus,rubra,292-64*1,Duckett,5/17/2017,Duckett,2.75,,2.75
Oak Collection,5/17/2017,Quercus,rubra,64-92*1,Duckett,5/17/2017,Duckett,1.85,,1.85
Oak Collection,5/17/2017,Quercus,velutina,185-92*2,Duckett,5/17/2017,Duckett,4,,4.00
Oak Collection,5/17/2017,Quercus,velutina,185-92*4,Duckett,5/17/2017,Duckett,2.5,,2.50
Oak Collection,5/17/2017,Quercus,velutina,185-92*5,Duckett,5/17/2017,Duckett,7,,7.00
Oak Collection,5/24/2017,Quercus,alba,684-33*1,Duckett,5/24/2017,Duckett,0.4,,0.40
Oak Collection,5/24/2017,Quercus,alba,862-34*1,Duckett,5/24/2017,Duckett,1.55,,1.55
Oak Collection,5/24/2017,Quercus,alba,239-42*2,Duckett,5/24/2017,Duckett,1.5,,1.50
Oak Collection,5/24/2017,Quercus,alba,134-U*6,Duckett,5/24/2017,Duckett,0,,0.00
Oak Collection,5/24/2017,Quercus,alba,134-U*7,Duckett,5/24/2017,Duckett,0.55,,0.55
Oak Collection,5/24/2017,Quercus,alba,134-U*60,Duckett,5/24/2017,Duckett,3.5,,3.50
Oak Collection,5/24/2017,Quercus,alba,134-U*61,Duckett,5/24/2017,Duckett,3.1,,3.10
Oak Collection,5/24/2017,Quercus,bicolor,513-25*1,Duckett,5/24/2017,Duckett,2.05,,2.05
Oak Collection,5/24/2017,Quercus,bicolor,214-91*1,Duckett,5/24/2017,Duckett,1.7,,1.70
Oak Collection,5/24/2017,Quercus,macrocarpa,1261-26*1,Duckett,5/24/2017,Duckett,1.1,,1.10
Oak Collection,5/24/2017,Quercus,macrocarpa,1261-26*2,Duckett,5/24/2017,Duckett,0.85,,0.85
Oak Collection,5/24/2017,Quercus,macrocarpa,2390-26*1,Duckett,5/24/2017,Duckett,0,,0.00
Oak Collection,5/24/2017,Quercus,macrocarpa,2390-26*2,Duckett,5/24/2017,Duckett,0.5,,0.50
Oak Collection,5/24/2017,Quercus,macrocarpa,752-34*2,Duckett,5/24/2017,Duckett,0,,0.00
Oak Collection,5/24/2017,Quercus,macrocarpa,752-34*4,Duckett,5/24/2017,Duckett,0,,0.00
Oak Collection,5/24/2017,Quercus,macrocarpa,4-35*1,Duckett,5/24/2017,Duckett,1.6,,1.60
Oak Collection,5/24/2017,Quercus,macrocarpa,1516-35*1,Duckett,5/24/2017,Duckett,1.1,,1.10
Oak Collection,5/24/2017,Quercus,macrocarpa,808-51*1,Duckett,5/24/2017,Duckett,1.6,,1.60
Oak Collection,5/24/2017,Quercus,macrocarpa,138-U*1,Duckett,5/24/2017,Duckett,10.7,,10.70
Oak Collection,5/24/2017,Quercus,macrocarpa,138-U*4,Duckett,5/24/2017,Duckett,1.85,,1.85
Oak Collection,5/24/2017,Quercus,macrocarpa,138-U*6,Duckett,5/24/2017,Duckett,16.65,,16.65
Oak Collection,5/24/2017,Quercus,macrocarpa,138-U*7,Duckett,5/24/2017,Duckett,1.1,,1.10
Oak Collection,5/24/2017,Quercus,robur,180-93*7,Duckett,5/24/2017,Duckett,5,,5.00
Oak Collection,5/24/2017,Quercus,robur,180-93*8,Duckett,5/24/2017,Duckett,4,,4.00
Oak Collection,5/24/2017,Quercus,robur,180-93*9,Duckett,5/24/2017,Duckett,0,,0.00
Oak Collection,5/24/2017,Quercus,robur,255-99*1,Duckett,5/24/2017,Duckett,1.2,,1.20
Oak Collection,5/24/2017,Quercus,rubra,466-37*1,Duckett,5/24/2017,Duckett,9.25,,9.25
Oak Collection,5/24/2017,Quercus,rubra,292-64*1,Duckett,5/24/2017,Duckett,5.3,,5.30
Oak Collection,5/24/2017,Quercus,rubra,64-92*1,Duckett,5/24/2017,Duckett,3.9,,3.90
Oak Collection,5/24/2017,Quercus,velutina,185-92*2,Duckett,5/24/2017,Duckett,6.1,,6.10
Oak Collection,5/24/2017,Quercus,velutina,185-92*4,Duckett,5/24/2017,Duckett,5.45,,5.45
Oak Collection,5/24/2017,Quercus,velutina,185-92*5,Duckett,5/24/2017,Duckett,10.3,,10.30
Oak Collection,6/5/2017,Quercus,alba,684-33*1,Duckett,6/5/2017,Duckett,0,,0.00
Oak Collection,6/5/2017,Quercus,alba,862-34*1,Duckett,6/5/2017,Duckett,2.5,,2.50
Oak Collection,6/5/2017,Quercus,alba,239-42*2,Duckett,6/5/2017,Duckett,2,,2.00
Oak Collection,6/5/2017,Quercus,alba,134-U*6,Duckett,6/5/2017,Duckett,9999,Mark was under collar. Made new mark,9999.00
Oak Collection,6/5/2017,Quercus,alba,134-U*7,Duckett,6/5/2017,Duckett,0.35,,0.35
Oak Collection,6/5/2017,Quercus,alba,134-U*60,Duckett,6/5/2017,Duckett,5.35,Band was screwed up. Had to adjust it,5.35
Oak Collection,6/5/2017,Quercus,alba,134-U*61,Duckett,6/5/2017,Duckett,7.8,,7.80
Oak Collection,6/5/2017,Quercus,bicolor,513-25*1,Duckett,6/5/2017,Duckett,2.4,,2.40
Oak Collection,6/5/2017,Quercus,bicolor,214-91*1,Duckett,6/5/2017,Duckett,1.5,,1.50
Oak Collection,6/5/2017,Quercus,macrocarpa,1261-26*1,Duckett,6/5/2017,Duckett,1.8,,1.80
Oak Collection,6/5/2017,Quercus,macrocarpa,1261-26*2,Duckett,6/5/2017,Duckett,1.75,,1.75
Oak Collection,6/5/2017,Quercus,macrocarpa,2390-26*1,Duckett,6/5/2017,Duckett,1.75,,1.75
Oak Collection,6/5/2017,Quercus,macrocarpa,2390-26*2,Duckett,6/5/2017,Duckett,0.85,,0.85
Oak Collection,6/5/2017,Quercus,macrocarpa,752-34*2,Duckett,6/5/2017,Duckett,0,,0.00
Oak Collection,6/5/2017,Quercus,macrocarpa,752-34*4,Duckett,6/5/2017,Duckett,0,,0.00
Oak Collection,6/5/2017,Quercus,macrocarpa,4-35*1,Duckett,6/5/2017,Duckett,2.05,,2.05
Oak Collection,6/5/2017,Quercus,macrocarpa,1516-35*1,Duckett,6/5/2017,Duckett,1.25,,1.25
Oak Collection,6/5/2017,Quercus,macrocarpa,808-51*1,Duckett,6/5/2017,Duckett,1.45,,1.45
Oak Collection,6/5/2017,Quercus,macrocarpa,138-U*1,Duckett,6/5/2017,Duckett,8.6,,8.60
Oak Collection,6/5/2017,Quercus,macrocarpa,138-U*4,Duckett,6/5/2017,Duckett,2.2,,2.20
Oak Collection,6/5/2017,Quercus,macrocarpa,138-U*6,Duckett,6/5/2017,Duckett,17,,17.00
Oak Collection,6/5/2017,Quercus,macrocarpa,138-U*7,Duckett,6/5/2017,Duckett,1.6,,1.60
Oak Collection,6/5/2017,Quercus,robur,180-93*7,Duckett,6/5/2017,Duckett,11.6,,11.60
Oak Collection,6/5/2017,Quercus,robur,180-93*8,Duckett,6/5/2017,Duckett,6.6,,6.60
Oak Collection,6/5/2017,Quercus,robur,180-93*9,Duckett,6/5/2017,Duckett,1.85,,1.85
Oak Collection,6/5/2017,Quercus,robur,255-99*1,Duckett,6/5/2017,Duckett,1.05,,1.05
Oak Collection,6/5/2017,Quercus,rubra,466-37*1,Duckett,6/5/2017,Duckett,6.45,,6.45
Oak Collection,6/5/2017,Quercus,rubra,292-64*1,Duckett,6/5/2017,Duckett,6.25,,6.25
Oak Collection,6/5/2017,Quercus,rubra,64-92*1,Duckett,6/5/2017,Duckett,6.55,,6.55
Oak Collection,6/5/2017,Quercus,velutina,185-92*2,Duckett,6/5/2017,Duckett,9.15,,9.15
Oak Collection,6/5/2017,Quercus,velutina,185-92*4,Duckett,6/5/2017,Duckett,10.05,,10.05
Oak Collection,6/5/2017,Quercus,velutina,185-92*5,Duckett,6/5/2017,Duckett,16.8,,16.80
Oak Collection,6/12/2017,Quercus,alba,684-33*1,Duckett,6/12/2017,Duckett,0,,0.00
Oak Collection,6/12/2017,Quercus,alba,862-34*1,Duckett,6/12/2017,Duckett,4.15,,4.15
Oak Collection,6/12/2017,Quercus,alba,239-42*2,Duckett,6/12/2017,Duckett,2.85,,2.85
Oak Collection,6/12/2017,Quercus,alba,134-U*6,Duckett,6/12/2017,Duckett,0,,0.00
Oak Collection,6/12/2017,Quercus,alba,134-U*7,Duckett,6/12/2017,Duckett,0.35,,0.35
Oak Collection,6/12/2017,Quercus,alba,134-U*60,Duckett,6/12/2017,Duckett,5,,5.00
Oak Collection,6/12/2017,Quercus,alba,134-U*61,Duckett,6/12/2017,Duckett,4.2,,4.20
Oak Collection,6/12/2017,Quercus,bicolor,513-25*1,Duckett,6/12/2017,Duckett,2.3,,2.30
Oak Collection,6/12/2017,Quercus,bicolor,214-91*1,Duckett,6/12/2017,Duckett,2.15,,2.15
Oak Collection,6/12/2017,Quercus,macrocarpa,1261-26*1,Duckett,6/12/2017,Duckett,1.8,,1.80
Oak Collection,6/12/2017,Quercus,macrocarpa,1261-26*2,Duckett,6/12/2017,Duckett,2.1,,2.10
Oak Collection,6/12/2017,Quercus,macrocarpa,2390-26*1,Duckett,6/12/2017,Duckett,1.85,,1.85
Oak Collection,6/12/2017,Quercus,macrocarpa,2390-26*2,Duckett,6/12/2017,Duckett,1.45,,1.45
Oak Collection,6/12/2017,Quercus,macrocarpa,752-34*2,Duckett,6/12/2017,Duckett,0,,0.00
Oak Collection,6/12/2017,Quercus,macrocarpa,752-34*4,Duckett,6/12/2017,Duckett,0.45,,0.45
Oak Collection,6/12/2017,Quercus,macrocarpa,4-35*1,Duckett,6/12/2017,Duckett,2.15,,2.15
Oak Collection,6/12/2017,Quercus,macrocarpa,1516-35*1,Duckett,6/12/2017,Duckett,1.35,,1.35
Oak Collection,6/12/2017,Quercus,macrocarpa,808-51*1,Duckett,6/12/2017,Duckett,1.85,,1.85
Oak Collection,6/12/2017,Quercus,macrocarpa,138-U*1,Duckett,6/12/2017,Duckett,8.05,,8.05
Oak Collection,6/12/2017,Quercus,macrocarpa,138-U*4,Duckett,6/12/2017,Duckett,2.55,,2.55
Oak Collection,6/12/2017,Quercus,macrocarpa,138-U*6,Duckett,6/12/2017,Duckett,17.15,,17.15
Oak Collection,6/12/2017,Quercus,macrocarpa,138-U*7,Duckett,6/12/2017,Duckett,1.45,,1.45
Oak Collection,6/12/2017,Quercus,robur,180-93*7,Duckett,6/12/2017,Duckett,17.85,,17.85
Oak Collection,6/12/2017,Quercus,robur,180-93*8,Duckett,6/12/2017,Duckett,8.9,,8.90
Oak Collection,6/12/2017,Quercus,robur,180-93*9,Duckett,6/12/2017,Duckett,2.9,,2.90
Oak Collection,6/12/2017,Quercus,robur,255-99*1,Duckett,6/12/2017,Duckett,1.1,,1.10
Oak Collection,6/12/2017,Quercus,rubra,466-37*1,Duckett,6/12/2017,Duckett,7.55,,7.55
Oak Collection,6/12/2017,Quercus,rubra,292-64*1,Duckett,6/12/2017,Duckett,7.9,,7.90
Oak Collection,6/12/2017,Quercus,rubra,64-92*1,Duckett,6/12/2017,Duckett,7.85,,7.85
Oak Collection,6/12/2017,Quercus,velutina,185-92*2,Duckett,6/12/2017,Duckett,11.75,,11.75
Oak Collection,6/12/2017,Quercus,velutina,185-92*4,Duckett,6/12/2017,Duckett,14.35,,14.35
Oak Collection,6/12/2017,Quercus,velutina,185-92*5,Duckett,6/12/2017,Duckett,20.15,,20.15
Oak Collection,6/23/2017,Quercus,alba,684-33*1,Duckett,6/23/2017,Duckett,1.6,,1.60
Oak Collection,6/23/2017,Quercus,alba,862-34*1,Duckett,6/23/2017,Duckett,7.5,,7.50
Oak Collection,6/23/2017,Quercus,alba,239-42*2,Duckett,6/23/2017,Duckett,6.95,,6.95
Oak Collection,6/23/2017,Quercus,alba,134-U*6,Duckett,6/23/2017,Duckett,0.5,,0.50
Oak Collection,6/23/2017,Quercus,alba,134-U*7,Duckett,6/23/2017,Duckett,0.35,,0.35
Oak Collection,6/23/2017,Quercus,alba,134-U*60,Duckett,6/23/2017,Duckett,7.15,,7.15
Oak Collection,6/23/2017,Quercus,alba,134-U*61,Duckett,6/23/2017,Duckett,4,,4.00
Oak Collection,6/23/2017,Quercus,bicolor,513-25*1,Duckett,6/23/2017,Duckett,5.1,,5.10
Oak Collection,6/23/2017,Quercus,bicolor,214-91*1,Duckett,6/23/2017,Duckett,4.45,,4.45
Oak Collection,6/23/2017,Quercus,macrocarpa,1261-26*1,Duckett,6/23/2017,Duckett,4.2,,4.20
Oak Collection,6/23/2017,Quercus,macrocarpa,1261-26*2,Duckett,6/23/2017,Duckett,3.85,,3.85
Oak Collection,6/23/2017,Quercus,macrocarpa,2390-26*1,Duckett,6/23/2017,Duckett,2,,2.00
Oak Collection,6/23/2017,Quercus,macrocarpa,2390-26*2,Duckett,6/23/2017,Duckett,2.85,,2.85
Oak Collection,6/23/2017,Quercus,macrocarpa,752-34*2,Duckett,6/23/2017,Duckett,0.6,,0.60
Oak Collection,6/23/2017,Quercus,macrocarpa,752-34*4,Duckett,6/23/2017,Duckett,0.6,,0.60
Oak Collection,6/23/2017,Quercus,macrocarpa,4-35*1,Duckett,6/23/2017,Duckett,5.55,,5.55
Oak Collection,6/23/2017,Quercus,macrocarpa,1516-35*1,Duckett,6/23/2017,Duckett,3.75,,3.75
Oak Collection,6/23/2017,Quercus,macrocarpa,808-51*1,Duckett,6/23/2017,Duckett,4.2,,4.20
Oak Collection,6/23/2017,Quercus,macrocarpa,138-U*1,Duckett,6/23/2017,Duckett,8.5,,8.50
Oak Collection,6/23/2017,Quercus,macrocarpa,138-U*4,Duckett,6/23/2017,Duckett,3.65,,3.65
Oak Collection,6/23/2017,Quercus,macrocarpa,138-U*6,Duckett,6/23/2017,Duckett,19,,19.00
Oak Collection,6/23/2017,Quercus,macrocarpa,138-U*7,Duckett,6/23/2017,Duckett,3.15,,3.15
Oak Collection,6/23/2017,Quercus,robur,180-93*7,Duckett,6/23/2017,Duckett,26.95,,26.95
Oak Collection,6/23/2017,Quercus,robur,180-93*8,Duckett,6/23/2017,Duckett,12.9,,12.90
Oak Collection,6/23/2017,Quercus,robur,180-93*9,Duckett,6/23/2017,Duckett,4.95,,4.95
Oak Collection,6/23/2017,Quercus,robur,255-99*1,Duckett,6/23/2017,Duckett,3.05,,3.05
Oak Collection,6/23/2017,Quercus,rubra,466-37*1,Duckett,6/23/2017,Duckett,8.5,,8.50
Oak Collection,6/23/2017,Quercus,rubra,292-64*1,Duckett,6/23/2017,Duckett,10.6,,10.60
Oak Collection,6/23/2017,Quercus,rubra,64-92*1,Duckett,6/23/2017,Duckett,11.35,,11.35
Oak Collection,6/23/2017,Quercus,velutina,185-92*2,Duckett,6/23/2017,Duckett,18.7,,18.70
Oak Collection,6/23/2017,Quercus,velutina,185-92*4,Duckett,6/23/2017,Duckett,18.75,,18.75
Oak Collection,6/23/2017,Quercus,velutina,185-92*5,Duckett,6/23/2017,Duckett,25.95,,25.95
Oak Collection,6/27/2017,Quercus,alba,684-33*1,Duckett,6/27/2017,Duckett,2,,2.00
Oak Collection,6/27/2017,Quercus,alba,862-34*1,Duckett,6/27/2017,Duckett,8.1,,8.10
Oak Collection,6/27/2017,Quercus,alba,239-42*2,Duckett,6/27/2017,Duckett,7.85,,7.85
Oak Collection,6/27/2017,Quercus,alba,134-U*6,Duckett,6/27/2017,Duckett,0.3,,0.30
Oak Collection,6/27/2017,Quercus,alba,134-U*7,Duckett,6/27/2017,Duckett,0.35,,0.35
Oak Collection,6/27/2017,Quercus,alba,134-U*60,Duckett,6/27/2017,Duckett,7.6,,7.60
Oak Collection,6/27/2017,Quercus,alba,134-U*61,Duckett,6/27/2017,Duckett,3.55,,3.55
Oak Collection,6/27/2017,Quercus,bicolor,513-25*1,Duckett,6/27/2017,Duckett,5.1,,5.10
Oak Collection,6/27/2017,Quercus,bicolor,214-91*1,Duckett,6/27/2017,Duckett,4.7,,4.70
Oak Collection,6/27/2017,Quercus,macrocarpa,1261-26*1,Duckett,6/27/2017,Duckett,4.35,,4.35
Oak Collection,6/27/2017,Quercus,macrocarpa,1261-26*2,Duckett,6/27/2017,Duckett,3.35,,3.35
Oak Collection,6/27/2017,Quercus,macrocarpa,2390-26*1,Duckett,6/27/2017,Duckett,2.7,,2.70
Oak Collection,6/27/2017,Quercus,macrocarpa,2390-26*2,Duckett,6/27/2017,Duckett,2.95,,2.95
Oak Collection,6/27/2017,Quercus,macrocarpa,752-34*2,Duckett,6/27/2017,Duckett,0.55,,0.55
Oak Collection,6/27/2017,Quercus,macrocarpa,752-34*4,Duckett,6/27/2017,Duckett,1.85,,1.85
Oak Collection,6/27/2017,Quercus,macrocarpa,4-35*1,Duckett,6/27/2017,Duckett,5.6,,5.60
Oak Collection,6/27/2017,Quercus,macrocarpa,1516-35*1,Duckett,6/27/2017,Duckett,3.95,,3.95
Oak Collection,6/27/2017,Quercus,macrocarpa,808-51*1,Duckett,6/27/2017,Duckett,4.05,,4.05
Oak Collection,6/27/2017,Quercus,macrocarpa,138-U*1,Duckett,6/27/2017,Duckett,11.35,,11.35
Oak Collection,6/27/2017,Quercus,macrocarpa,138-U*4,Duckett,6/27/2017,Duckett,3.65,,3.65
Oak Collection,6/27/2017,Quercus,macrocarpa,138-U*6,Duckett,6/27/2017,Duckett,19.25,,19.25
Oak Collection,6/27/2017,Quercus,macrocarpa,138-U*7,Duckett,6/27/2017,Duckett,2.8,,2.80
Oak Collection,6/27/2017,Quercus,robur,180-93*7,Duckett,6/27/2017,Duckett,28.75,,28.75
Oak Collection,6/27/2017,Quercus,robur,180-93*8,Duckett,6/27/2017,Duckett,13.3,,13.30
Oak Collection,6/27/2017,Quercus,robur,180-93*9,Duckett,6/27/2017,Duckett,5.05,,5.05
Oak Collection,6/27/2017,Quercus,robur,255-99*1,Duckett,6/27/2017,Duckett,2.85,,2.85
Oak Collection,6/27/2017,Quercus,rubra,466-37*1,Duckett,6/27/2017,Duckett,2.85,,2.85
Oak Collection,6/27/2017,Quercus,rubra,292-64*1,Duckett,6/27/2017,Duckett,10.95,,10.95
Oak Collection,6/27/2017,Quercus,rubra,64-92*1,Duckett,6/27/2017,Duckett,11.25,,11.25
Oak Collection,6/27/2017,Quercus,velutina,185-92*2,Duckett,6/27/2017,Duckett,19.35,,19.35
Oak Collection,6/27/2017,Quercus,velutina,185-92*4,Duckett,6/27/2017,Duckett,19.35,,19.35
Oak Collection,6/27/2017,Quercus,velutina,185-92*5,Duckett,6/27/2017,Duckett,26.75,,26.75
Oak Collection,7/3/2017,Quercus,alba,684-33*1,Duckett,7/3/2017,Duckett,2,,2.00
Oak Collection,7/3/2017,Quercus,alba,862-34*1,Duckett,7/3/2017,Duckett,9.3,,9.30
Oak Collection,7/3/2017,Quercus,alba,239-42*2,Duckett,7/3/2017,Duckett,8.1,,8.10
Oak Collection,7/3/2017,Quercus,alba,134-U*6,Duckett,7/3/2017,Duckett,0.85,,0.85
Oak Collection,7/3/2017,Quercus,alba,134-U*7,Duckett,7/3/2017,Duckett,0.3,,0.30
Oak Collection,7/3/2017,Quercus,alba,134-U*60,Duckett,7/3/2017,Duckett,8.7,,8.70
Oak Collection,7/3/2017,Quercus,alba,134-U*61,Duckett,7/3/2017,Duckett,4.45,,4.45
Oak Collection,7/3/2017,Quercus,bicolor,513-25*1,Duckett,7/3/2017,Duckett,5.45,,5.45
Oak Collection,7/3/2017,Quercus,bicolor,214-91*1,Duckett,7/3/2017,Duckett,4.9,,4.90
Oak Collection,7/3/2017,Quercus,macrocarpa,1261-26*1,Duckett,7/3/2017,Duckett,4.65,,4.65
Oak Collection,7/3/2017,Quercus,macrocarpa,1261-26*2,Duckett,7/3/2017,Duckett,4.25,,4.25
Oak Collection,7/3/2017,Quercus,macrocarpa,2390-26*1,Duckett,7/3/2017,Duckett,2.65,,2.65
Oak Collection,7/3/2017,Quercus,macrocarpa,2390-26*2,Duckett,7/3/2017,Duckett,2.8,,2.80
Oak Collection,7/3/2017,Quercus,macrocarpa,752-34*2,Duckett,7/3/2017,Duckett,0.65,,0.65
Oak Collection,7/3/2017,Quercus,macrocarpa,752-34*4,Duckett,7/3/2017,Duckett,1.75,,1.75
Oak Collection,7/3/2017,Quercus,macrocarpa,4-35*1,Duckett,7/3/2017,Duckett,5.65,,5.65
Oak Collection,7/3/2017,Quercus,macrocarpa,1516-35*1,Duckett,7/3/2017,Duckett,3.95,,3.95
Oak Collection,7/3/2017,Quercus,macrocarpa,808-51*1,Duckett,7/3/2017,Duckett,4.95,,4.95
Oak Collection,7/3/2017,Quercus,macrocarpa,138-U*1,Duckett,7/3/2017,Duckett,11.05,,11.05
Oak Collection,7/3/2017,Quercus,macrocarpa,138-U*4,Duckett,7/3/2017,Duckett,4.1,,4.10
Oak Collection,7/3/2017,Quercus,macrocarpa,138-U*6,Duckett,7/3/2017,Duckett,20,,20.00
